CAT2 type,CAT2 OppVerhouding,CAT mobi,CAT hoogte,CAT perceelopp,Count of id,vergroot20,verkleind20,neutraal20
1_landbouw,1_onbebouwd,1_zeer laag,1_heel laag,1_heel klein,33,2,0,31
1_landbouw,1_onbebouwd,1_zeer laag,1_heel laag,2_klein,54,1,0,53
1_landbouw,1_onbebouwd,1_zeer laag,1_heel laag,3_middel,154,0,0,154
1_landbouw,1_onbebouwd,1_zeer laag,1_heel laag,4_groot,596,1,0,595
1_landbouw,1_onbebouwd,1_zeer laag,1_heel laag,5_heel groot,566,1,0,565
1_landbouw,1_onbebouwd,2_laag,1_heel laag,1_heel klein,56,1,0,55
1_landbouw,1_onbebouwd,2_laag,1_heel laag,2_klein,44,1,0,43
1_landbouw,1_onbebouwd,2_laag,1_heel laag,3_middel,119,1,0,118
1_landbouw,1_onbebouwd,2_laag,1_heel laag,4_groot,615,1,0,614
1_landbouw,1_onbebouwd,2_laag,1_heel laag,5_heel groot,714,1,0,713
1_landbouw,1_onbebouwd,3_middel,1_heel laag,1_heel klein,52,0,0,52
1_landbouw,1_onbebouwd,3_middel,1_heel laag,2_klein,39,2,0,37
1_landbouw,1_onbebouwd,3_middel,1_heel laag,3_middel,88,2,0,86
1_landbouw,1_onbebouwd,3_middel,1_heel laag,4_groot,398,3,0,395
1_landbouw,1_onbebouwd,3_middel,1_heel laag,5_heel groot,339,1,0,338
1_landbouw,1_onbebouwd,4_hoog,1_heel laag,1_heel klein,3,0,0,3
1_landbouw,1_onbebouwd,4_hoog,1_heel laag,2_klein,3,0,0,3
1_landbouw,1_onbebouwd,4_hoog,1_heel laag,3_middel,10,0,0,10
1_landbouw,1_onbebouwd,4_hoog,1_heel laag,4_groot,19,1,0,18
1_landbouw,1_onbebouwd,4_hoog,1_heel laag,5_heel groot,16,0,0,16
1_landbouw,2_bebouwd,1_zeer laag,1_heel laag,3_middel,1,1,0,0
1_landbouw,2_bebouwd,1_zeer laag,1_heel laag,4_groot,6,5,0,1
1_landbouw,2_bebouwd,1_zeer laag,1_heel laag,5_heel groot,7,6,0,1
