CAT2 type,CAT2 OppVerhouding,CAT hoogte,Count of id,vergroot20,verkleind20,neutraal20,Average of dVol vergroten,Average of dVol verkleinen
1_landbouw,1_onbebouwd,1_heel laag,3918,19,0,3899,2.6731689714139866,0
2_uitbreidingsgebied,1_onbebouwd,1_heel laag,164,10,0,154,64.39701681097561,0
3_ander,1_onbebouwd,1_heel laag,2009,154,0,1855,83.5014601906421,0
1_landbouw,2_bebouwd,1_heel laag,63,56,0,7,877.6769496031749,0
2_uitbreidingsgebied,2_bebouwd,1_heel laag,39,38,0,1,772.0572783589745,0
3_ander,2_bebouwd,1_heel laag,295,282,0,13,887.4771483389832,0
1_landbouw,2_bebouwd,2_laag,282,115,40,127,320.5527115070922,-25.41777964184397
2_uitbreidingsgebied,2_bebouwd,2_laag,130,76,17,37,359.6396564615384,-60.80328196153846
3_ander,2_bebouwd,2_laag,1615,1069,160,386,565.8323191170276,-13.123154129411779
1_landbouw,2_bebouwd,3_middel,275,118,90,67,191.80236370909088,-71.05677950181816
2_uitbreidingsgebied,2_bebouwd,3_middel,558,242,79,237,44.669571218638,-16.83718869175628
3_ander,2_bebouwd,3_middel,2900,1285,611,1004,148.3409694896551,-54.21034570482761
1_landbouw,2_bebouwd,4_hoog,53,10,29,14,234.32228018867917,-208.00286924528297
2_uitbreidingsgebied,2_bebouwd,4_hoog,299,90,64,145,31.95457615384614,-25.896677391304344
3_ander,2_bebouwd,4_hoog,2531,722,723,1086,189.4316937099959,-141.13376942552352
