type,CAT perceelopp,CAT OppBebouwd,Count of id,Average of dVolumeR (2),Average of dVol vergroten,Average of dVol verkleinen
bedrijventerrein,1_heel klein,1_zeer klein,6,855.9131508333334,855.9131508333334,0
bedrijventerrein,1_heel klein,2_klein,12,86.99097333333333,86.99097333333333,0
bedrijventerrein,1_heel klein,3_middel,7,172.5522528571428,172.5522528571428,0
bedrijventerrein,1_heel klein,4_groot,1,743.6708999999998,743.6708999999998,0
bedrijventerrein,2_klein,1_zeer klein,4,945.229725,945.229725,0
bedrijventerrein,2_klein,2_klein,11,107.3365439090909,107.3365439090909,0
bedrijventerrein,2_klein,3_middel,16,394.917391875,394.917391875,0
bedrijventerrein,2_klein,4_groot,13,304.32855230769235,304.32855230769235,0
bedrijventerrein,2_klein,5_zeer groot,1,4273.356,4273.356,0
bedrijventerrein,3_middel,1_zeer klein,3,6900.3187,6900.3187,0
bedrijventerrein,3_middel,2_klein,6,93.94499966666665,93.94499966666665,0
bedrijventerrein,3_middel,3_middel,11,384.3734772727273,384.3734772727273,0
bedrijventerrein,3_middel,4_groot,37,437.37948891891904,437.37948891891904,0
bedrijventerrein,3_middel,5_zeer groot,8,754.7923250000001,754.7923250000001,0
bedrijventerrein,4_groot,1_zeer klein,5,6478.45,6478.45,0
bedrijventerrein,4_groot,2_klein,2,3019.275,3019.275,0
bedrijventerrein,4_groot,3_middel,3,245.43898333333334,245.43898333333334,0
bedrijventerrein,4_groot,4_groot,13,691.1739253846154,691.1739253846154,0
bedrijventerrein,4_groot,5_zeer groot,32,3484.5406499999995,3484.5406499999995,0
bedrijventerrein,5_heel groot,1_zeer klein,2,9502.213,9502.213,0
bedrijventerrein,5_heel groot,2_klein,2,164.129,164.129,0
bedrijventerrein,5_heel groot,3_middel,1,10886.699,10886.699,0
bedrijventerrein,5_heel groot,4_groot,1,186.76509999999985,186.76509999999985,0
bedrijventerrein,5_heel groot,5_zeer groot,44,14879.197890909087,14879.197890909087,0
buitengebied,1_heel klein,1_zeer klein,9,237.78821933333333,237.78821933333333,0
buitengebied,1_heel klein,2_klein,35,134.15502997142858,134.15502997142858,0
buitengebied,1_heel klein,3_middel,33,270.3720890909091,270.3720890909091,0
buitengebied,1_heel klein,4_groot,10,335.19400899999994,335.19400899999994,0
buitengebied,2_klein,1_zeer klein,5,791.944796,791.944796,0
buitengebied,2_klein,2_klein,24,289.22382229166675,289.22382229166675,0
buitengebied,2_klein,3_middel,56,285.5790392857143,285.5790392857143,0
buitengebied,2_klein,4_groot,52,433.39410692307695,433.39410692307695,0
buitengebied,2_klein,5_zeer groot,2,1799.2307999999998,1799.2307999999998,0
buitengebied,3_middel,1_zeer klein,9,834.7118835555555,834.7118835555555,0
buitengebied,3_middel,2_klein,17,236.00093705882355,236.00093705882355,0
buitengebied,3_middel,3_middel,54,249.39995185185197,249.39995185185197,0
buitengebied,3_middel,4_groot,171,462.0502515497075,462.0502515497075,0
buitengebied,3_middel,5_zeer groot,12,565.7958666666668,565.7958666666668,0
buitengebied,4_groot,1_zeer klein,2,60.1955,60.1955,0
buitengebied,4_groot,2_klein,4,210.02475900000002,210.02475900000002,0
buitengebied,4_groot,3_middel,5,241.15959599999996,241.15959599999996,0
buitengebied,4_groot,4_groot,65,458.30379501538454,458.30379501538454,0
buitengebied,4_groot,5_zeer groot,16,811.56141875,811.56141875,0
buitengebied,5_heel groot,2_klein,1,41.756,41.756,0
buitengebied,5_heel groot,4_groot,1,38.31599999999992,38.31599999999992,0
buitengebied,5_heel groot,5_zeer groot,2,2178.5440000000003,2178.5440000000003,0
landbouwgebied,1_heel klein,1_zeer klein,3,569.9763333333334,569.9763333333334,0
landbouwgebied,1_heel klein,2_klein,1,29.003970000000038,29.003970000000038,0
landbouwgebied,1_heel klein,3_middel,3,333.82,333.82,0
landbouwgebied,1_heel klein,4_groot,2,243.68946,243.68946,0
landbouwgebied,2_klein,1_zeer klein,4,203.24425,203.24425,0
landbouwgebied,2_klein,2_klein,5,128.33459119999998,128.33459119999998,0
landbouwgebied,2_klein,3_middel,3,183.24035000000003,183.24035000000003,0
landbouwgebied,2_klein,4_groot,12,489.1625933333333,489.1625933333333,0
landbouwgebied,3_middel,1_zeer klein,3,1456.63167,1456.63167,0
landbouwgebied,3_middel,2_klein,7,67.66385342857141,67.66385342857141,0
landbouwgebied,3_middel,3_middel,18,319.35287611111113,319.35287611111113,0
landbouwgebied,3_middel,4_groot,62,441.1914770967743,441.1914770967743,0
landbouwgebied,3_middel,5_zeer groot,15,625.6357466666668,625.6357466666668,0
landbouwgebied,4_groot,1_zeer klein,6,453.914505,453.914505,0
landbouwgebied,4_groot,2_klein,30,146.8187002,146.8187002,0
landbouwgebied,4_groot,3_middel,4,172.9500175,172.9500175,0
landbouwgebied,4_groot,4_groot,39,504.764688974359,504.764688974359,0
landbouwgebied,4_groot,5_zeer groot,40,591.5926300000002,591.5926300000002,0
landbouwgebied,5_heel groot,1_zeer klein,3,285.72933,285.72933,0
landbouwgebied,5_heel groot,2_klein,22,146.26145245454543,146.26145245454543,0
landbouwgebied,5_heel groot,4_groot,12,843.864,843.864,0
landbouwgebied,5_heel groot,5_zeer groot,24,4063.526654166668,4063.526654166668,0
uitbreidingsgebied,1_heel klein,1_zeer klein,1,1607.1549,1607.1549,0
uitbreidingsgebied,1_heel klein,2_klein,8,49.59874837499999,49.59874837499999,0
uitbreidingsgebied,1_heel klein,3_middel,4,35.38599000000002,35.38599000000002,0
uitbreidingsgebied,1_heel klein,4_groot,2,266.21301,266.21301,0
uitbreidingsgebied,2_klein,1_zeer klein,2,197.79399899999999,197.79399899999999,0
uitbreidingsgebied,2_klein,2_klein,43,120.17858265116281,120.17858265116281,0
uitbreidingsgebied,2_klein,3_middel,79,239.7629950632911,239.7629950632911,0
uitbreidingsgebied,2_klein,4_groot,37,249.90439135135136,249.90439135135136,0
uitbreidingsgebied,2_klein,5_zeer groot,1,1371.9988000000003,1371.9988000000003,0
uitbreidingsgebied,3_middel,1_zeer klein,1,168.25,168.25,0
uitbreidingsgebied,3_middel,2_klein,22,103.22986736363636,103.22986736363636,0
uitbreidingsgebied,3_middel,3_middel,91,192.01014857142857,192.01014857142857,0
uitbreidingsgebied,3_middel,4_groot,122,295.7140812295081,295.7140812295081,0
uitbreidingsgebied,3_middel,5_zeer groot,4,886.9663250000003,886.9663250000003,0
uitbreidingsgebied,4_groot,1_zeer klein,4,1184.8674997499998,1184.8674997499998,0
uitbreidingsgebied,4_groot,2_klein,6,119.30549483333333,119.30549483333333,0
uitbreidingsgebied,4_groot,4_groot,19,478.0080584210527,478.0080584210527,0
uitbreidingsgebied,4_groot,5_zeer groot,5,1184.93508,1184.93508,0
uitbreidingsgebied,5_heel groot,1_zeer klein,2,1825.32393,1825.32393,0
uitbreidingsgebied,5_heel groot,2_klein,2,71.984002,71.984002,0
uitbreidingsgebied,5_heel groot,3_middel,1,309.658,309.658,0
woongebied,1_heel klein,1_zeer klein,21,419.0257660476192,419.0257660476192,0
woongebied,1_heel klein,2_klein,239,171.87077190794975,171.87077190794975,0
woongebied,1_heel klein,3_middel,128,256.5737273437499,256.5737273437499,0
woongebied,1_heel klein,4_groot,28,276.2960910714286,276.2960910714286,0
woongebied,1_heel klein,5_zeer groot,1,1985.1364999999996,1985.1364999999996,0
woongebied,2_klein,1_zeer klein,7,1173.2478557142858,1173.2478557142858,0
woongebied,2_klein,2_klein,92,220.3955670652174,220.3955670652174,0
woongebied,2_klein,3_middel,216,308.03139341666673,308.03139341666673,0
woongebied,2_klein,4_groot,106,544.047859245283,544.047859245283,0
woongebied,2_klein,5_zeer groot,2,1680.2905,1680.2905,0
woongebied,3_middel,1_zeer klein,6,613.7578670000001,613.7578670000001,0
woongebied,3_middel,2_klein,19,127.37899668421053,127.37899668421053,0
woongebied,3_middel,3_middel,52,345.6288037499999,345.6288037499999,0
woongebied,3_middel,4_groot,157,468.5313291082801,468.5313291082801,0
woongebied,3_middel,5_zeer groot,16,1383.25423125,1383.25423125,0
woongebied,4_groot,1_zeer klein,1,137.64299,137.64299,0
woongebied,4_groot,2_klein,5,106.975399,106.975399,0
woongebied,4_groot,3_middel,2,105.35250000000002,105.35250000000002,0
woongebied,4_groot,4_groot,20,602.11624,602.11624,0
woongebied,4_groot,5_zeer groot,11,912.6838363636365,912.6838363636365,0
woongebied,5_heel groot,3_middel,1,35.64000000000004,35.64000000000004,0
woongebied,5_heel groot,5_zeer groot,3,11930.49143333333,11930.49143333333,0
woonvernieuwingsgebied,1_heel klein,1_zeer klein,37,669.1003658108106,669.1003658108106,0
woonvernieuwingsgebied,1_heel klein,2_klein,292,189.1312651164383,189.1312651164383,0
woonvernieuwingsgebied,1_heel klein,3_middel,114,234.2461346491229,234.2461346491229,0
woonvernieuwingsgebied,1_heel klein,4_groot,56,445.59413160714286,445.59413160714286,0
woonvernieuwingsgebied,2_klein,1_zeer klein,17,494.20358158823535,494.20358158823535,0
woonvernieuwingsgebied,2_klein,2_klein,112,213.39653591071433,213.39653591071433,0
woonvernieuwingsgebied,2_klein,3_middel,210,292.56069402857145,292.56069402857145,0
