type,CAT perceelopp,Count of id,Average of dVolumeR (2),Average of dVol vergroten,Average of dVol verkleinen
bedrijventerrein,1_heel klein,26,312.72720211538456,312.72720211538456,0
bedrijventerrein,2_klein,45,433.5539185111112,433.5539185111112,0
bedrijventerrein,3_middel,65,734.0632928923077,734.0632928923077,0
bedrijventerrein,4_groot,55,2902.866886909091,2902.866886909091,0
bedrijventerrein,5_heel groot,50,13701.817105999997,13701.817105999997,0
buitengebied,1_heel klein,87,219.6521730229885,219.6521730229885,0
buitengebied,2_klein,139,381.4998350719427,381.4998350719427,0
buitengebied,3_middel,263,421.2629798365018,421.2629798365018,0
buitengebied,4_groot,92,488.48931947826094,488.48931947826094,0
buitengebied,5_heel groot,4,1109.2900000000002,1109.2900000000002,0
landbouwgebied,1_heel klein,9,358.6413211111111,358.6413211111111,0
landbouwgebied,2_klein,24,328.09675524999994,328.09675524999994,0
landbouwgebied,3_middel,105,450.76477651428576,450.76477651428576,0
landbouwgebied,4_groot,119,429.99475778151276,429.99475778151276,0
landbouwgebied,5_heel groot,61,1831.5729121967215,1831.5729121967215,0
uitbreidingsgebied,1_heel klein,15,178.52765779999996,178.52765779999996,0
uitbreidingsgebied,2_klein,162,216.80867248148144,216.80867248148144,0
uitbreidingsgebied,3_middel,240,248.0717242166667,248.0717242166667,0
uitbreidingsgebied,4_groot,34,601.8273964117649,601.8273964117649,0
uitbreidingsgebied,5_heel groot,5,820.8547728,820.8547728,0
woongebied,1_heel klein,417,221.67750533093533,221.67750533093533,0
woongebied,2_klein,423,368.92095086997625,368.92095086997625,0
woongebied,3_middel,250,479.0677292160005,479.0677292160005,0
woongebied,4_groot,39,588.8479996153847,588.8479996153847,0
woongebied,5_heel groot,4,8956.778574999998,8956.778574999998,0
woonvernieuwingsgebied,1_heel klein,499,263.80836406613207,263.80836406613207,0
woonvernieuwingsgebied,2_klein,525,343.7643888095239,343.7643888095239,0
woonvernieuwingsgebied,3_middel,377,515.6234108594164,515.6234108594164,0
woonvernieuwingsgebied,4_groot,128,865.1154958281251,865.1154958281251,0
woonvernieuwingsgebied,5_heel groot,24,2346.420389583333,2346.420389583333,0
