type,CAT perceelopp,CAT OppBebouwd,Count of id,Average of dVolumeR (2),Average of dVol vergroten,Average of dVol verkleinen
bedrijventerrein,1_heel klein,2_klein,7,-187.13944714285714,0,-187.13944714285714
bedrijventerrein,1_heel klein,3_middel,5,-320.1512319999999,0,-320.1512319999999
bedrijventerrein,1_heel klein,4_groot,2,-577.0244799999999,0,-577.0244799999999
bedrijventerrein,2_klein,2_klein,3,-60.159316666666676,0,-60.159316666666676
bedrijventerrein,2_klein,3_middel,6,-89.77100000000002,0,-89.77100000000002
bedrijventerrein,2_klein,4_groot,8,-451.0394749999999,0,-451.0394749999999
bedrijventerrein,2_klein,5_zeer groot,1,-1341.1601999999998,0,-1341.1601999999998
bedrijventerrein,3_middel,2_klein,3,-103.893666,0,-103.893666
bedrijventerrein,3_middel,3_middel,4,-37.87246499999995,0,-37.87246499999995
bedrijventerrein,3_middel,4_groot,14,-499.39790714285715,0,-499.39790714285715
bedrijventerrein,3_middel,5_zeer groot,8,-1540.6340750000002,0,-1540.6340750000002
bedrijventerrein,4_groot,4_groot,9,-430.4304222222221,0,-430.4304222222221
bedrijventerrein,4_groot,5_zeer groot,30,-1888.6914366666667,0,-1888.6914366666667
bedrijventerrein,5_heel groot,2_klein,1,-182.204,0,-182.204
bedrijventerrein,5_heel groot,5_zeer groot,37,-3392.754059459458,0,-3392.754059459458
buitengebied,1_heel klein,2_klein,10,-67.84420349999998,0,-67.84420349999998
buitengebied,1_heel klein,3_middel,7,-123.45715285714284,0,-123.45715285714284
buitengebied,1_heel klein,4_groot,10,-578.0625699999999,0,-578.0625699999999
buitengebied,2_klein,2_klein,6,-53.324190000000044,0,-53.324190000000044
buitengebied,2_klein,3_middel,19,-128.6218957894737,0,-128.6218957894737
buitengebied,2_klein,4_groot,25,-209.5763244,0,-209.5763244
buitengebied,2_klein,5_zeer groot,4,-827.9649999999999,0,-827.9649999999999
buitengebied,3_middel,2_klein,6,-46.523838333333345,0,-46.523838333333345
buitengebied,3_middel,3_middel,14,-63.842274285714275,0,-63.842274285714275
buitengebied,3_middel,4_groot,75,-107.85492280000001,0,-107.85492280000001
buitengebied,3_middel,5_zeer groot,16,-263.6104500000001,0,-263.6104500000001
buitengebied,4_groot,2_klein,1,-57.348003,0,-57.348003
buitengebied,4_groot,3_middel,2,-119.49598499999998,0,-119.49598499999998
buitengebied,4_groot,4_groot,27,-77.8522925925926,0,-77.8522925925926
buitengebied,4_groot,5_zeer groot,23,-266.98716521739135,0,-266.98716521739135
buitengebied,5_heel groot,2_klein,1,-56.671,0,-56.671
buitengebied,5_heel groot,4_groot,1,-1052.4170000000001,0,-1052.4170000000001
buitengebied,5_heel groot,5_zeer groot,1,-128.27129999999943,0,-128.27129999999943
landbouwgebied,1_heel klein,3_middel,2,-295.20294999999993,0,-295.20294999999993
landbouwgebied,1_heel klein,4_groot,2,-524.2760000000001,0,-524.2760000000001
landbouwgebied,2_klein,3_middel,2,-163.13951,0,-163.13951
landbouwgebied,2_klein,4_groot,3,-162.95703333333336,0,-162.95703333333336
landbouwgebied,2_klein,5_zeer groot,2,-282.0739500000002,0,-282.0739500000002
landbouwgebied,3_middel,2_klein,4,-144.181245,0,-144.181245
landbouwgebied,3_middel,3_middel,7,-132.63414142857144,0,-132.63414142857144
landbouwgebied,3_middel,4_groot,31,-130.013704516129,0,-130.013704516129
landbouwgebied,3_middel,5_zeer groot,19,-435.04672105263154,0,-435.04672105263154
landbouwgebied,4_groot,2_klein,4,-93.817507,0,-93.817507
landbouwgebied,4_groot,3_middel,5,-52.430561999999966,0,-52.430561999999966
landbouwgebied,4_groot,4_groot,22,-147.07918045454537,0,-147.07918045454537
landbouwgebied,4_groot,5_zeer groot,25,-324.448756,0,-324.448756
landbouwgebied,5_heel groot,2_klein,8,-75.1866305,0,-75.1866305
landbouwgebied,5_heel groot,3_middel,3,-143.41466,0,-143.41466
landbouwgebied,5_heel groot,4_groot,6,-273.1274383333333,0,-273.1274383333333
landbouwgebied,5_heel groot,5_zeer groot,14,-446.9973214285715,0,-446.9973214285715
uitbreidingsgebied,1_heel klein,2_klein,6,-56.893686666666696,0,-56.893686666666696
uitbreidingsgebied,1_heel klein,3_middel,3,-70.32969333333337,0,-70.32969333333337
uitbreidingsgebied,1_heel klein,4_groot,2,-532.32552,0,-532.32552
uitbreidingsgebied,2_klein,2_klein,9,-51.80088777777776,0,-51.80088777777776
uitbreidingsgebied,2_klein,3_middel,28,-104.39894999999999,0,-104.39894999999999
uitbreidingsgebied,2_klein,4_groot,12,-82.76522499999994,0,-82.76522499999994
