type,CAT perceelopp,Count of id,Average of dVolumeR (2),Average of dVol vergroten,Average of dVol verkleinen
bedrijventerrein,1_heel klein,14,-290.3415178571428,0,-290.3415178571428
bedrijventerrein,2_klein,18,-314.9211083333333,0,-314.9211083333333
bedrijventerrein,3_middel,29,-682.0625571724138,0,-682.0625571724138
bedrijventerrein,4_groot,39,-1552.1696641025644,0,-1552.1696641025644
bedrijventerrein,5_heel groot,38,-3308.2658999999985,0,-3308.2658999999985
buitengebied,1_heel klein,27,-271.23214092592593,0,-271.23214092592593
buitengebied,2_klein,54,-209.53757907407405,0,-209.53757907407405
buitengebied,3_middel,111,-121.43983135135149,0,-121.43983135135149
buitengebied,4_groot,53,-161.11427684905658,0,-161.11427684905658
buitengebied,5_heel groot,3,-412.4530999999999,0,-412.4530999999999
landbouwgebied,1_heel klein,4,-409.739475,0,-409.739475
landbouwgebied,2_klein,7,-197.04257428571435,0,-197.04257428571435
landbouwgebied,3_middel,61,-226.25371327868845,0,-226.25371327868845
landbouwgebied,4_groot,56,-214.00685192857145,0,-214.00685192857145
landbouwgebied,5_heel groot,31,-288.0149727096775,0,-288.0149727096775
uitbreidingsgebied,1_heel klein,11,-147.00020363636366,0,-147.00020363636366
uitbreidingsgebied,2_klein,50,-90.61736579999999,0,-90.61736579999999
uitbreidingsgebied,3_middel,80,-125.53980125000001,0,-125.53980125000001
uitbreidingsgebied,4_groot,16,-538.5456803125002,0,-538.5456803125002
uitbreidingsgebied,5_heel groot,3,-78.29965666666662,0,-78.29965666666662
woongebied,1_heel klein,181,-133.5503270331492,0,-133.5503270331492
woongebied,2_klein,145,-209.2288263724139,0,-209.2288263724139
woongebied,3_middel,109,-253.2272340917432,0,-253.2272340917432
woongebied,4_groot,31,-161.43210503225805,0,-161.43210503225805
woongebied,5_heel groot,5,-486.77540800000025,0,-486.77540800000025
woonvernieuwingsgebied,1_heel klein,196,-180.7240882346939,0,-180.7240882346939
woonvernieuwingsgebied,2_klein,200,-226.53966979000026,0,-226.53966979000026
woonvernieuwingsgebied,3_middel,175,-436.53450875428564,0,-436.53450875428564
woonvernieuwingsgebied,4_groot,56,-317.4201750000001,0,-317.4201750000001
woonvernieuwingsgebied,5_heel groot,10,-1350.728218,0,-1350.728218
