shapeid,fid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"0",1,985209,477.120000000000005,84.060000000000002,708.625800000000027,8.430000000000000,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,28,"7658",95240.6471270000,208485.2531100000
"1",2,975007,4581.289999999999964,0.000000000000000,0.000000000000000,,,,,,Grasland,BOTERHOEK,14,"4906",90974.1538800000,212213.4063400000
"2",3,1071122,601.970000000000027,130.490000000000009,1153.531600000000026,8.840000000000000,ZANDVLEUGE,,,,,ZANDVLEUGE,21,"7154",95213.6007840000,209556.7664500000
"3",4,977960,317.529999999999973,56.490000000000002,368.314799999999991,6.520000000000000,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,25,"8013",93997.5070150000,208936.6632300000
"4",5,980430,1115.809999999999945,0.000000000000000,0.000000000000000,,,,,,Grasland,VELDEKEN,6,"6558",93257.6876030000,207074.7407300000
"5",6,1071520,1967.640000000000100,0.000000000000000,0.000000000000000,,NIJVERHEIDSKAAI,NIJVERHEIDSKAAI,,Nieuwendorpe,,NIJVERHEIDSKAAI,18,"7429",92614.0808010000,208423.4144000000
"6",7,982480,169.780000000000001,86.590000000000003,936.037900000000036,10.810000000000000,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,19,"7821",93541.9066060000,207796.9472700000
"7",8,982203,1052.420000000000073,0.000000000000000,0.000000000000000,,GALGENAKKER,,geen uitspraak,,,GALGENAKKER,22,"7083",92006.1503290000,208936.2930400000
"8",9,974132,334.189999999999998,130.979999999999990,958.700399999999945,7.319441136051306,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"7950",93783.2245750000,209140.3513000000
"9",10,973994,15.690000000000000,0.000000000000000,0.000000000000000,,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"8013",93822.8838130000,208970.1806300000
"10",11,976371,392.540000000000020,144.120000000000005,1374.904800000000023,9.539999999999999,BALGERHOEK,,,,,BALGERHOEK,20,"6129",90993.9086000000,210475.3693900000
"11",12,979217,123.700000000000003,150.460000000000008,442.352399999999989,2.940000000000000,GALGENAKKER,,,,,GALGENAKKER,22,"6954",91750.5778010000,209004.5114400000
"12",13,978081,5708.170000000000073,94.239999999999995,551.376499999999965,5.850769312393888,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,nr.13 Stassano,,KERKSTRAAT   ROZE,25,"7987",94176.7506550000,208681.9374600000
"13",14,977381,178.909999999999997,93.159999999999997,528.134000000000015,5.669106912838128,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,25,"7923",94565.8272070000,209005.1827800000
"14",15,984928,760.539999999999964,174.460000000000008,1040.733400000000074,5.965455691849136,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,28,"7550",95318.6203960000,208644.7710200000
"15",16,984861,1074.039999999999964,355.509999999999991,1402.519800000000032,3.945092402464066,,,,,,OOSTVELDSTRAAT,2,"6982",96295.9498830000,208472.9431300000
"16",17,973951,114.760000000000005,114.760000000000005,350.017999999999972,3.050000000000000,EEKLO CENTRUM,,,,,EEKLO CENTRUM,17,"7998",93602.3895840000,208835.0232600000
"17",18,985697,303.910000000000025,121.010000000000005,1009.529099999999971,8.342526237501032,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,28,"7687",94921.8635060000,209320.2079200000
"18",19,986053,1908.980000000000018,1241.630000000000109,6801.667599999999766,5.478014867553136,ZANDVLEUGE,,,,Landbouwinfrastructuur,SINT-JANS VELD,12,"7397",93511.2616470000,209633.8705100000
"19",20,984080,345.060000000000002,89.769999999999996,879.745999999999981,9.800000000000001,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,24,"7823",95171.2770900000,207793.3100900000
"20",21,978892,267.040000000000020,97.870000000000005,292.631300000000010,2.990000000000000,MOEIE,MOEIE,,Nieuwendorpe,,MOEIE,16,"7600",92966.1491380000,208568.0714600000
"21",22,986246,384.449999999999989,148.530000000000001,694.112899999999968,4.673216858547096,ZANDVLEUGE,,,Peperstraat,,ZANDVLEUGE,21,"7777",94233.8988400000,209471.0924700000
"22",23,977091,83.269999999999996,65.739999999999995,688.955199999999991,10.480000000000000,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,25,"8022",94092.0301710000,208810.5012300000
"23",24,983778,3973.139999999999873,0.000000000000000,0.000000000000000,,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,28,"7907",94941.8647050000,208331.8534300000
"24",25,978738,553.129999999999995,496.819999999999993,1882.156500000000051,3.788407270238718,MOEIE,MOEIE,,,,MOEIE,16,"7978",93564.0333360000,208544.1364200000
"25",26,976504,670.629999999999995,0.000000000000000,0.000000000000000,,,,,,Grasland,SINT-JANS VELD,12,"6437",91452.0318090000,210326.0367500000
"26",27,984358,283.949999999999989,115.129999999999995,1173.789500000000089,10.195340050377837,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,infrastructuur,,,ZUIDMOERSTRAAT GENTSESTEENWEG,19,"8001",94833.5346960000,207704.9920100000
"27",28,983349,191.330000000000013,78.810000000000002,617.082300000000032,7.830000000000000,LEKESTRAAT   SCHAPERIJ,,,Lekestraat,,LEKESTRAAT   SCHAPERIJ,24,"8033",94725.3518180000,208148.9412900000
"28",29,975658,190.349999999999994,65.730000000000004,605.373299999999972,9.210000000000001,WARME LANDEN,WARME LANDEN,,,,WARME LANDEN,26,"7370",92606.2460970000,209413.7595400000
"29",30,980961,150.889999999999986,0.000000000000000,0.000000000000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,19,"8063",94041.8855430000,208239.6374500000
"30",31,986067,436.589999999999975,0.000000000000000,0.000000000000000,,,,,,MaÃ¯s,SINT-JANS VELD,12,"6716",93659.1077520000,210276.1291900000
"31",32,979760,438.399999999999977,180.479999999999990,1388.332300000000032,7.692444038120568,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"7810",93254.6940180000,209043.8929400000
"32",33,983443,501.360000000000014,22.840000000000000,0.000000000000000,0.000000000000000,,,,,,HOGE BOSSTRAAT,3,"7673",95283.8406460000,207533.5280900000
"33",34,976700,119.049999999999997,153.840000000000003,2418.364799999999832,15.719999999999999,EEKLO CENTRUM,,,,,EEKLO CENTRUM,17,"8033",93786.0386570000,208660.9587600000
"34",35,1071723,109.989999999999995,127.799999999999997,1588.554000000000087,12.430000000000001,EEKLO CENTRUM,KERKSTRAAT   ROZE,,,,EEKLO CENTRUM,17,"8033",93830.6994380000,208745.8790600000
"35",36,978402,70.750000000000000,0.000000000000000,0.000000000000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,19,"8063",94015.6815190000,208225.4296600000
"36",37,983474,270.329999999999984,102.230000000000004,665.723299999999995,6.512015064071212,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,24,"7752",95249.9893060000,207800.7901500000
"37",38,978531,2308.090000000000146,0.000000000000000,0.000000000000000,,,,,,MaÃ¯s,VELDEKEN,6,"6924",93624.2551020000,207264.6060700000
"38",39,982593,8633.280000000000655,0.000000000000000,0.000000000000000,,,,,,,SINT-JANS VELD,12,"5456",92311.2418520000,211065.3055600000
"39",40,974379,627.679999999999950,141.080000000000013,0.000000000000000,0.000000000000000,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"7915",94024.4997980000,209255.1210200000
"40",41,979751,216.229999999999990,57.880000000000003,149.330399999999997,2.580000000000000,WARME LANDEN,WARME LANDEN,,,,WARME LANDEN,26,"7661",92934.9325490000,208988.1028200000
"41",42,986108,4319.590000000000146,0.000000000000000,0.000000000000000,,,,,,Grasland,SINT-JANS VELD,12,"6936",94116.5685130000,210213.6033500000
"42",43,978364,191.930000000000007,82.659999999999997,686.904599999999959,8.310000000000000,WARME LANDEN,WARME LANDEN,,,,WARME LANDEN,26,"7661",92959.4961290000,208973.9459400000
"43",44,986000,6510.189999999999600,0.000000000000000,0.000000000000000,,,,,,Grasland,SINT-JANS VELD,12,"6810",93017.6941310000,210170.5529900000
"44",45,982442,1460.029999999999973,614.080000000000041,2210.005599999999959,3.598888744137571,,,,,,SINT-JANS VELD,12,"6841",91954.4703700000,210017.6936600000
"45",46,1447937,105.819999999999993,83.060000000000002,751.692999999999984,9.049999999999997,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,19,"8029",94449.2391490000,208092.8818200000
"46",47,1071636,248.090000000000003,85.019999999999996,732.872399999999971,8.619999999999999,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"7840",93293.6597990000,208975.6156000000
"47",48,983100,10018.420000000000073,0.000000000000000,0.000000000000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,Grasland,ZUIDMOERSTRAAT GENTSESTEENWEG,19,"7689",94410.4232860000,207470.2574200000
"48",49,980441,313.879999999999995,116.909999999999997,1124.674199999999928,9.619999999999999,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"7795",93119.0054930000,208891.8136700000
"49",50,979841,208.960000000000008,110.579999999999998,371.548800000000028,3.360000000000000,MOEIE,MOEIE,,,,MOEIE,16,"7571",93057.0502500000,208455.0182100000
"50",51,978516,1235.119999999999891,0.000000000000000,0.000000000000000,,GALGENAKKER,,vrijgeven voor 2007,,MaÃ¯s,GALGENAKKER,22,"7113",91994.7235210000,209042.2785700000
"51",52,975888,7062.390000000000327,0.000000000000000,0.000000000000000,,,,,,Grasland,SINT-JANS VELD,12,"5997",92678.0319520000,210544.2888100000
"52",53,977547,395.779999999999973,234.479999999999990,1291.395099999999957,5.507485073353804,MOLENSTRAAT,,,,,MOLENSTRAAT,27,"7875",93497.3855960000,209024.9776600000
"53",54,981389,712.529999999999973,178.919999999999987,780.120000000000005,4.360160965794769,GALGENAKKER,,,,,GALGENAKKER,22,"6979",91834.7273120000,208889.5106100000
