id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,volNieuw,volNieuwGem
0,477.12,84.06,8.43,0.17618209,1.4852151,0.0,
1,4581.29,0.0,0.0,0.0,0.0,0.0,
2,601.97,130.49,8.84,0.21677162,1.9162611,0.0,
3,317.53,56.49,6.52,0.17790446,1.159937,0.0,
4,1115.81,0.0,0.0,0.0,0.0,0.0,
5,1967.64,0.0,0.0,0.0,0.0,0.0,
6,169.78,86.59,10.81,0.5100129,5.5132403,0.0,
7,1052.42,0.0,0.0,0.0,0.0,0.0,
8,334.19,130.98,7.3194413,0.39193273,2.8687284,0.0,
9,15.69,0.0,0.0,0.0,0.0,0.0,
10,392.54,144.12,9.54,0.36714727,3.5025852,0.0,
11,123.7,150.46,2.94,1.2163299,3.57601,0.0,
12,5708.17,94.24,5.8507695,0.016509669,0.096594274,0.0,
13,178.91,93.16,5.669107,0.52070874,2.9519536,0.0,
14,760.54,174.46,5.9654555,0.22938965,1.3684138,0.0,
15,1074.04,355.51,3.9450924,0.33100256,1.3058357,0.0,
16,114.76,114.76,3.05,1.0,3.05,0.0,
17,303.91,121.01,8.342526,0.3981771,3.3218029,0.0,
18,1908.98,1241.63,5.478015,0.6504154,3.5629852,0.0,
19,345.06,89.77,9.8,0.26015764,2.549545,0.0,
20,267.04,97.87,2.99,0.3664994,1.0958332,0.0,
21,384.45,148.53,4.673217,0.3863441,1.8054699,0.0,
22,83.27,65.74,10.48,0.78948003,8.27375,0.0,
23,3973.14,0.0,0.0,0.0,0.0,0.0,
24,553.13,496.82,3.7884073,0.89819753,3.4027383,0.0,
25,670.63,0.0,0.0,0.0,0.0,0.0,
26,283.95,115.13,10.19534,0.4054587,4.133789,0.0,
27,191.33,78.81,7.83,0.41190612,3.2252247,0.0,
28,190.35,65.73,9.21,0.34531128,3.180317,0.0,
29,150.89,0.0,0.0,0.0,0.0,0.0,
30,436.59,0.0,0.0,0.0,0.0,0.0,
31,438.4,180.48,7.692444,0.41167882,3.1668165,0.0,
32,501.36,22.84,0.0,0.04555609,0.0,0.0,
33,119.05,153.84,15.72,1.2922301,20.313856,0.0,
34,109.99,127.8,12.43,1.1619239,14.442714,0.0,
35,70.75,0.0,0.0,0.0,0.0,0.0,
36,270.33,102.23,6.512015,0.37816745,2.4626322,0.0,
37,2308.09,0.0,0.0,0.0,0.0,0.0,
