shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"0","985209",477.12,84.060000,664.915000,7.910,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7658",95240.6471270000,208485.2531100000
"1","975007",4581.29,0.000000,0.000000,,,,,,Grasland,BOTERHOEK,"14","4906",90974.1538800000,212213.4063400000
"2","1071122",601.97,166.800000,1252.771000,7.511,ZANDVLEUGE,,,,,ZANDVLEUGE,"21","7154",95213.6007840000,209556.7664500000
"3","977960",317.53,56.490000,368.880000,6.530,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","8013",93997.5070150000,208936.6632300000
"4","980430",1115.81,0.000000,0.000000,,,,,,Grasland,VELDEKEN,"6","6558",93257.6876030000,207074.7407300000
"5","1071520",1967.64,0.000000,0.000000,,NIJVERHEIDSKAAI,NIJVERHEIDSKAAI,,Nieuwendorpe,,NIJVERHEIDSKAAI,"18","7429",92614.0808010000,208423.4144000000
"6","982480",169.78,86.590000,905.731000,10.460,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7821",93541.9066060000,207796.9472700000
"7","982203",1052.42,0.000000,0.000000,,GALGENAKKER,,geen uitspraak,,,GALGENAKKER,"22","7083",92006.1503290000,208936.2930400000
"8","974132",334.19,125.030000,902.824000,7.221,MOLENSTRAAT,,,,,MOLENSTRAAT,"27","7950",93783.2245750000,209140.3513000000
"9","973994",15.69,13.040000,34.426000,2.640,MOLENSTRAAT,,,,,MOLENSTRAAT,"27","8013",93822.8838130000,208970.1806300000
"10","976371",392.54,142.560000,1389.960000,9.750,BALGERHOEK,,,,,BALGERHOEK,"20","6129",90993.9086000000,210475.3693900000
"11","979217",123.70,126.000000,366.660000,2.910,GALGENAKKER,,,,,GALGENAKKER,"22","6954",91750.5778010000,209004.5114400000
"12","978081",5708.17,94.230000,945.171000,10.030,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,nr.13 Stassano,,KERKSTRAAT   ROZE,"25","7987",94176.7506550000,208681.9374600000
"13","977381",178.91,93.160000,494.838000,5.312,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7923",94565.8272070000,209005.1827800000
"14","984928",760.54,160.770000,959.348000,5.967,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7550",95318.6203960000,208644.7710200000
"15","984861",1074.04,342.470000,2190.656000,6.397,,,,,,OOSTVELDSTRAAT,"2","6982",96295.9498830000,208472.9431300000
"16","973951",114.76,114.760000,1225.637000,10.680,EEKLO CENTRUM,,,,,EEKLO CENTRUM,"17","7998",93602.3895840000,208835.0232600000
"17","985697",303.91,121.010000,1009.928000,8.346,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7687",94921.8635060000,209320.2079200000
"18","986053",1908.98,936.870000,5172.270000,5.521,ZANDVLEUGE,,,,Landbouwinfrastructuur,SINT-JANS VELD,"12","7397",93511.2616470000,209633.8705100000
"19","984080",345.06,89.770000,885.132000,9.860,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","7823",95171.2770900000,207793.3100900000
"20","978892",267.04,85.820000,894.244000,10.420,MOEIE,MOEIE,,Nieuwendorpe,,MOEIE,"16","7600",92966.1491380000,208568.0714600000
"21","986246",384.45,148.530000,928.674000,6.252,ZANDVLEUGE,,,Peperstraat,,ZANDVLEUGE,"21","7777",94233.8988400000,209471.0924700000
"22","977091",83.27,66.800000,703.404000,10.530,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","8022",94092.0301710000,208810.5012300000
"23","983778",3973.14,0.000000,0.000000,,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7907",94941.8647050000,208331.8534300000
"24","978738",553.13,123.910000,370.891000,2.993,MOEIE,MOEIE,,,,MOEIE,"16","7978",93564.0333360000,208544.1364200000
"25","976504",670.63,0.000000,0.000000,,,,,,Grasland,SINT-JANS VELD,"12","6437",91452.0318090000,210326.0367500000
"26","984358",283.95,109.700000,1099.039000,10.019,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,infrastructuur,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8001",94833.5346960000,207704.9920100000
"27","983349",191.33,78.810000,622.599000,7.900,LEKESTRAAT   SCHAPERIJ,,,Lekestraat,,LEKESTRAAT   SCHAPERIJ,"24","8033",94725.3518180000,208148.9412900000
"28","975658",190.35,65.730000,607.345000,9.240,WARME LANDEN,WARME LANDEN,,,,WARME LANDEN,"26","7370",92606.2460970000,209413.7595400000
