id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,zone,zoneId,type,typeId,mobi,volume,volNieuw,volNieuwGem
0,477.12,84.06,8.43,0.17618209,1.4852151,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7658.0,708.6258,953.44775,783.72156
1,4581.29,0.0,0.0,0.0,0.0,BOTERHOEK,14,landbouwgebied,5,4906.0,0.0,0.0,0.7059104
2,601.97,130.49,8.84,0.21677162,1.9162611,ZANDVLEUGE,21,woongebied,1,7154.0,1153.5316,1153.5316,1201.06
3,317.53,56.49,6.52,0.17790446,1.159937,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,8013.0,368.31482,247.7687,445.56146
4,1115.81,0.0,0.0,0.0,0.0,VELDEKEN,6,landbouwgebied,5,6558.0,0.0,0.0,13.753593
5,1967.64,0.0,0.0,0.0,0.0,NIJVERHEIDSKAAI,18,bedrijventerrein,4,7429.0,0.0,0.0,270.58765
6,169.78,86.59,10.81,0.5100129,5.5132403,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7821.0,936.0379,936.0379,975.2376
7,1052.42,0.0,0.0,0.0,0.0,GALGENAKKER,22,woonuitbreidingsgebied,3,7083.0,0.0,186.89714,186.8821
8,334.19,130.98,7.3194413,0.39193273,2.8687284,MOLENSTRAAT,27,woongebied,1,7950.0,958.7004,1300.8708,1086.0001
9,15.69,0.0,0.0,0.0,0.0,MOLENSTRAAT,27,woongebied,1,8013.0,0.0,0.0,49.712017
10,392.54,144.12,9.54,0.36714727,3.5025852,BALGERHOEK,20,woongebied,1,6129.0,1374.9048,1374.9048,1375.188
11,123.7,150.46,2.94,1.2163299,3.57601,GALGENAKKER,22,woongebied,1,6954.0,442.35242,292.33124,598.82886
12,5708.17,94.24,5.8507695,0.016509669,0.096594274,KERKSTRAAT   ROZE,25,bedrijventerrein,4,7987.0,551.3765,315.78857,631.50116
13,178.91,93.16,5.669107,0.52070874,2.9519536,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7923.0,528.13403,738.2267,627.8782
14,760.54,174.46,5.9654555,0.22938965,1.3684138,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7550.0,1040.7334,1424.6682,1172.5203
15,1074.04,355.51,3.9450924,0.33100256,1.3058357,OOSTVELDSTRAAT,2,buitengebied,6,6982.0,1402.5199,1263.0646,1694.792
16,114.76,114.76,3.05,1.0,3.05,EEKLO CENTRUM,17,woongebied,1,7998.0,350.018,635.02783,548.9252
17,303.91,121.01,8.342526,0.3981771,3.3218029,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7687.0,1009.5291,1009.5291,1123.657
18,1908.98,1241.63,5.478015,0.6504154,3.5629852,SINT-JANS VELD,12,woongebied,1,7397.0,6801.6675,7815.504,7185.074
19,345.06,89.77,9.8,0.26015764,2.549545,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,7823.0,879.746,792.3739,921.1263
20,267.04,97.87,2.99,0.3664994,1.0958332,MOEIE,16,bedrijventerrein,4,7600.0,292.63132,214.84592,372.74658
21,384.45,148.53,4.673217,0.3863441,1.8054699,ZANDVLEUGE,21,bedrijventerrein,4,7777.0,694.1129,694.1129,1050.9622
22,83.27,65.74,10.48,0.78948003,8.27375,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,8022.0,688.95514,899.04785,704.9318
23,3973.14,0.0,0.0,0.0,0.0,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7907.0,0.0,0.0,0.0
24,553.13,496.82,3.7884073,0.89819753,3.4027383,MOEIE,16,woonvernieuwingsgebied,2,7978.0,1882.1566,3465.154,2792.3914
