shapeid,fid,UIDN,oppBebouwd,volume,aantalGebouwen,oppPerceel,woongebied,woonvernieuwingsgebied,woonuitbreidingsgebied,industrie,landbouw,zoneId,zone,Mobiscore,hoogte,X,Y
"0","1","295193",173.7,415.827,"2",1123.14384651184,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7892",2.3939378238342,125848.699042244,195028.197437753
"1","2","294827",17.51,48.503,"3",17.5051498413086,TUINWIJK,,,,,"17",Tuinwijk,"7888",2.77001713306682,126549.366593322,195951.529699622
"2","3","300375",84.95,743.313,"9",132.314870834351,GENTSESTEENWEG,,,,,"10",Gentsesteenweg,"7797",8.75000588581518,125758.206877693,194701.916771116
"3","4","300011",83.57,685.274,"8",128.121849060059,GENTSESTEENWEG,,,,,"10",Gentsesteenweg,"7706",8.2,125756.527973076,194697.590729297
"4","5","294691",199.09,1315.969,"5",837.965763092041,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7892",6.60992013662163,125840.382815074,195021.51985582
"5","6","294734",559.35,1500.871,"3",559.320337295532,TUINWIJK,,,,,"17",Tuinwijk,"7888",2.68324126217931,126555.603749902,195947.366849534
"6","7","298212",0,0,,49.9878482818604,,,,,"1","21",Ackerwijk Zuid,"7716",,126958.71484336,194035.705146593
"7","8","305372",85.68,266.465,"3",313.220779418945,HEIKANT KERN,HEIKANT KERN,,,,"2",Heikant Kern,"6170",3.11000233426704,123109.623067696,195395.079499926
"8","9","298532",134.48,1320.594,"10",82.7040786743164,,,,,"1","21",Ackerwijk Zuid,"7716",9.82000297441999,126951.280861626,194037.401372346
"9","10","307076",107.47,650.194,"6",326.024528503418,DURMEN,DURMEN,,,,"36",Durmen,"7091",6.05000465246115,128211.285502332,197270.137705782
"10","11","305296",55.88,230.226,"4",55.8794021606445,HEIKANT KERN,HEIKANT KERN,,,,"2",Heikant Kern,"6170",4.12000715819613,123112.02024918,195393.740782661
"11","12","296806",0,0,,40.1751499176025,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7819",,126019.966574575,194754.81727234
"12","13","295149",119.54,1003.607,"6",389.741794586182,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7819",8.39557470302827,126019.680761368,194765.958481882
"13","14","303373",0,0,,290.382417678833,DURMEN,DURMEN,,,,"36",Durmen,"7091",,128212.48419172,197278.973727921
"14","15","302723",284.62,2886.047,"10",256.61413192749,DENDERMONDEBAAN,DENDERMONDEBAAN,,,,"31",Dendermondelaan,"7938",10.1400007026913,127457.820205462,195316.134631535
"15","16","297190",0,0,,13.7543125152588,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7951",,126315.555845005,195556.853277131
"16","17","309470",12.21,52.015,"4",12.206033706665,DURMEN,DURMEN,,,,"36",Durmen,"7090",4.26003276003276,128143.668939075,197414.045595466
"17","18","294675",0,0,,1093.37979125977,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7816",,126080.571137405,195378.406036971
"18","19","294679",179.6,1243.104,"6",504.468196868896,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7816",6.9215144766147,125963.428775888,195359.417998304
"19","20","294681",114.76,999.56,"9",408.884321212769,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7965",8.71000348553503,126362.129992581,195340.276968811
"20","21","294682",0,0,,1140.323179245,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7990",,126528.296227985,195631.672825235
"21","22","294683",316.42,2831.959,"9",448.09934425354,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",8.95,125862.816467096,194911.295344314
"22","23","294685",0,0,,2039.05390548706,,,,,"61","6",Tuinwijk Veld,"7699",,125737.766609911,195426.230695637
"23","24","294687",192.9,2314.8,"12",99.321720123291,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7811",12,126039.540856269,195556.581062081
"24","25","294688",136.38,1254.696,"9",133.080991744995,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7997",9.2,126501.265988988,195180.84455901
"25","26","294693",0,0,,129.468416213989,KLEINE KOUTER,KOUTER NOORD,,,,"14",Kleine Kouter,"7816",,125960.944044557,195343.024916565
"26","27","294697",222.08,1795.438,"8",249.340131759644,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7980",8.08464517291066,126493.751461905,195143.147347899
"27","28","294709",161.12,1276.918,"8",359.46319770813,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",7.92526067527309,125825.802682874,194977.371737285
"28","29","294712",0,0,,768.526365280151,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7997",,126714.57988682,195191.154038673
"29","30","294714",87.12,594.426,"5",217.346321105957,KOUTER NOORD,KOUTER NOORD,bebouwd,,,"18",Kouter Noord,"7751",6.82307162534435,126042.802333594,195652.43742671
"30","31","294719",0,0,,3490.4320602417,,,,,"62","6",Tuinwijk Veld,"7069",,125301.941425967,195906.141679289
"31","32","294722",231.12,2154.038,"9",876.737421035767,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",9.31999826929733,125965.434011242,194915.270810737
"32","33","294727",242.95,2154.774,"8",560.193513870239,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7894",8.86920765589628,126192.459191368,195464.389316071
"33","34","294728",114.79,917.172,"8",496.262691497803,TUINWIJK,,bebouwd,,,"17",Tuinwijk,"7699",7.98999912884398,126064.839650681,195834.675965972
"34","35","294729",70.45,225.44,"3",6287.06043434143,,,,,"61","6",Tuinwijk Veld,"7629",3.2,125677.673136436,195624.266264889
"35","36","294732",54.07,577.468,"11",125.734983444214,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7950",10.6800073978176,126238.271987142,195120.838866421
"36","37","294741",0,0,,182.825775146484,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7816",,125975.138955284,195349.45127066
"37","38","294743",102.81,690.883,"7",398.524686813354,TUINWIJK,,bebouwd,,"62","17",Tuinwijk,"7849",6.71999805466394,126134.364127402,195721.737265807
"38","39","294764",100.76,682.145,"7",277.5599193573,TUINWIJK,,bebouwd,,,"17",Tuinwijk,"7849",6.76999801508535,126139.44964863,195714.856353695
"39","40","294777",137.57,1067.951,"7",285.28270149231,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7744",7.76296430907902,125942.918336823,195411.353170407
"40","41","294778",189.43,2220.12,"12",297.66344833374,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",11.720002111598,125984.935653828,194950.329070971
"41","42","294780",0,0,,109.39296913147,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7862",,125923.940089605,194855.188930907
"42","43","294783",123.73,1155.074,"6",342.820615768433,KOUTER NOORD,KOUTER NOORD,,,"1","18",Kouter Noord,"7751",9.33544007112261,125982.048966367,195644.369188713
"43","44","294796",292.42,2716.582,"9",397.197719573975,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7962",9.29000068394775,126371.186434521,195485.46067521
"44","45","294799",2731.98,13098.79,"4",4703.8560333252,KOUTER NOORD,KOUTER NOORD,bebouwd,,"1","18",Kouter Noord,"7917",4.79461416262198,126268.286949472,195584.266540566
"45","46","294805",93.21,908.966,"7",142.134248733521,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7997",9.75180774595001,126512.600076973,195187.433530579
"46","47","294808",103.62,669.593,"5",177.579132080078,KOUTER NOORD,KOUTER NOORD,bebouwd,,,"18",Kouter Noord,"7751",6.46200540436209,126042.023976669,195647.283762753
"47","48","294810",374.98,1383.676,"4",901.797899246216,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7892",3.68999946663822,125831.664561291,195017.640565734
"48","49","294821",86.56,586.564,"6",207.66224861145,TUINWIJK,,,,,"17",Tuinwijk,"7820",6.77638632162662,126471.924532799,196047.945246739
"49","50","294822",0,0,,2338.78293037415,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7941",,126296.832313757,195331.522595502
"50","51","294826",178.48,1941.862,"11",264.918981552124,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7741",10.8799977588525,125998.082712274,195725.112398124
"51","52","294831",114.37,1143.7,"10",186.970439910889,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",10,126009.695687778,194906.446365981
"52","53","294833",53.9,70.93,"2",1280.1791267395,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7811",1.31595547309833,126020.338491854,195555.073416571
"53","54","294840",244.25,1803.402,"5",951.098310470581,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",7.38342681678608,126074.01621286,194900.075777536
"54","55","294841",158.09,1214.622,"5",589.750392913818,KOUTER NOORD,KOUTER NOORD,bebouwd,,,"18",Kouter Noord,"7741",7.68310456069328,126016.648464067,195725.607193164
"55","56","294842",427.1,3361.277,"8",721.82625579834,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7742",7.87,125629.322652494,195249.329249319
"56","57","294843",130.6,1200.214,"9",149.327407836914,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7980",9.19,126499.126651307,195147.099742836
"57","58","294845",82.92,433.672,"5",87.7226524353027,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7980",5.23000482392668,126497.375270777,195192.181002025
"58","59","294848",120.38,1219.449,"10",491.232227325439,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7968",10.1299966771889,126737.698213019,195092.303274458
"59","60","294850",51.73,511.092,"10",86.5509033203125,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",9.87999226754301,125874.381185329,194906.573152011
"60","61","294853",0,0,,786.413745880127,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7972",,126693.578738255,195081.757531016
"61","62","294855",85.6,661.688,"8",125.949541091919,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7912",7.73,126189.466462357,195210.172862572
"62","63","294873",13.33,76.381,"6",67.2798290252686,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7926",5.73000750187547,126195.702738261,195188.798262832
"63","64","294885",65.78,556.499,"8",111.764101028442,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"7931",8.46000304043782,126260.834760881,195480.726507209
"64","65","294893",123.17,880.558,"5",391.287017822266,TUINWIJK,,,,,"17",Tuinwijk,"7820",7.14912722253796,126477.163621998,196039.934273227
"65","66","294901",139.65,1691.363,"9",271.627391815186,KOUTER NOORD,KOUTER NOORD,,,,"18",Kouter Noord,"8022",12.1114428929467,126633.054720002,195254.926454524
"66","67","294912",113.99,940.413,"6",165.936111450195,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7968",8.24996052285288,126709.991286609,195002.444796504
"67","68","294917",0,0,,679.793720245361,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7862",,125932.507269122,194870.708309932
"68","69","294920",118.37,757.783,"5",269.925727844238,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7997",6.40181633859931,126741.03625527,195102.329244416
"69","70","294938",0,0,,1893.85353660583,,,,,"61","6",Tuinwijk Veld,"7699",,125718.798147309,195466.362025075
"70","71","294945",72.91,620.464,"9",213.10471534729,KOUTER NOORD,KOUTER NOORD,bebouwd,,,"18",Kouter Noord,"7877",8.50999862844603,126173.610886097,195504.75131555
"71","72","294953",1273.73,16489.579,"11",1118.78440666199,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7997",12.9458982672937,126510.202647902,195116.59312946
"72","73","294958",0,0,,5270.49316596985,,,,,"61","6",Tuinwijk Veld,"7440",,125439.908483278,195639.363753544
"73","74","294964",859.28,4878.461,"6",3287.23268890381,,,,,"1","7",Kouter West,"7391",5.67738222698073,125374.435696024,195667.381405849
"74","75","294965",213.21,1497.093,"7",256.960817337036,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7884",7.02168284789644,126163.438310109,194863.412730342
"75","76","294974",14.75,54.133,"4",3330.92785453796,TUINWIJK,KOUTER NOORD,geen uitspraak,,"61","17",Tuinwijk,"7864",3.67003389830509,126101.179674387,195664.305987995
"76","77","294983",0,0,,8943.97970581055,,,,,"61","6",Tuinwijk Veld,"7649",,125624.193309693,195539.216777527
"77","78","294988",131.42,1230.203,"7",1067.90645027161,KOUTER NOORD,KOUTER NOORD,bebouwd,,,"18",Kouter Noord,"7877",9.36085070765485,126184.070686921,195515.747136551
"78","79","294989",130.14,1042.119,"7",312.371786117554,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7862",8.00767634854772,126074.283563721,194860.269411001
"79","80","295031",90.94,973.967,"11",840.190212249756,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7997",10.7099956014955,126694.668880084,195183.232148186
"80","81","295036",64.88,545.641,"8",132.752481460571,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7997",8.41000308261406,126527.15309052,195127.084729661
"81","82","295040",62.82,331.575,"4",113.533023834229,KLEINE KOUTER,,,,,"14",Kleine Kouter,"7894",5.27817574021012,125812.142142488,194977.56337163
"82","83","295048",0,0,,10437.0834522247,,,,,"61","6",Tuinwijk Veld,"7678",,125710.803131324,195548.689197872
"83","84","295054",142.75,1203.383,"8",385.692218780518,KOUTER ZUID,KOUTER ZUID,,,,"19",Kouter Zuid,"7968",8.43000350262697,126740.696692163,195097.409705667
